ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone
973,São Tomé International Airport,Sao Tome,Sao Tome and Principe,TMS,FPST,0.3781749904155731,6.712150096893311,33,0.0
10017,San Gabriel Valley Airport,El Monte,United States,EMT,KEMT,34.086102,-118.035004,296,-8.0
6316,Gove Airport,Gove,Australia,GOV,YPGV,-12.269399642899998,136.817993164,192,9.5
5726,Southeast Iowa Regional Airport,Burlington,United States,BRL,KBRL,40.783199310302734,-91.12550354003906,698,-6.0
2219,Peshawar International Airport,Peshawar,Pakistan,PEW,OPPS,33.993900299072266,71.51460266113281,1158,5.0
1251,Santander Airport,Santander,Spain,SDR,LEXJ,43.42710113525391,-3.82000994682312,16,1.0
907,Kenneth Kaunda International Airport Lusaka,Lusaka,Zambia,LUN,FLLS,-15.3308000565,28.4526004791,3779,2.0
1956,San Salvador Airport,Cockburn Town,Bahamas,ZSA,MYSM,24.06329917907715,-74.52400207519531,24,-5.0
9543,Ogden Hinckley Airport,Ogden,United States,OGD,KOGD,41.195899963379,-112.0120010376,4473,-7.0
4108,Yaoqiang Airport,Jinan,China,TNA,ZSJN,36.857200622558594,117.21600341796876,76,8.0
6392,Wenzhou Longwan International Airport,Wenzhou,China,WNZ,ZSWZ,27.912201,120.851997,0,8.0
6284,Lake Evella Airport,Lake Evella,Australia,LEL,YLEV,-12.498900413513184,135.80599975585938,256,9.5
8052,Prospect Creek Airport,Prospect Creek,United States,PPC,PAPR,66.814102172852,-150.64399719238,1095,-9.0
6369,Arvaikheer Airport,Arvaikheer,Mongolia,AVK,ZMAH,46.250301361083984,102.802001953125,5932,8.0
4274,Nizhny Novgorod Strigino International Airport,Nizhniy Novgorod,Russia,GOJ,UWGG,56.230098724365,43.784000396729,256,3.0
2609,Plácido de Castro Airport,Rio Branco,Brazil,RBR,SBRB,-9.868888854980469,-67.89805603027344,633,-5.0
5516,Wemindji Airport,Wemindji,Canada,YNC,CYNC,53.01060104370117,-78.83110046386719,66,-5.0
6038,Frank Miloye Milenkowichi–Marília State Airport,Marília,Brazil,MII,SBML,-22.1968994141,-49.926399231,2122,-3.0
4287,Bemidji Regional Airport,Bemidji,United States,BJI,KBJI,47.50939941,-94.93370056,1391,-6.0
2963,Stavropol Shpakovskoye Airport,Stavropol,Russia,STW,URMT,45.10919952392578,42.11280059814453,1486,3.0
3061,Lok Nayak Jayaprakash Airport,Patina,India,PAT,VEPT,25.591299057,85.0879974365,170,5.5
3753,Sioux Gateway Col. Bud Day Field,Sioux City,United States,SUX,KSUX,42.40259933,-96.38439941,1098,-6.0
2881,Pointe-à-Pitre Le Raizet,Pointe-a-pitre,Guadeloupe,PTP,TFFR,16.265301,-61.531799,36,-4.0
2502,Brigadier D.H.E. Ruiz Airport,Colonel Suarez,Argentina,CSZ,SAZC,-37.446098,-61.889301,767,-3.0
11658,Dulkaninna Airport,Dulkaninna,Australia,DLK,YDLK,-29.0132999420166,138.4810028076172,0,9.5
5571,Westray Airport,Westray,United Kingdom,WRY,EGEW,59.3502998352,-2.95000004768,29,0.0
5437,Wapenamanda Airport,Wapenamanda,Papua New Guinea,WBM,AYWD,-5.64330005645752,143.89500427246094,5889,10.0
2320,Gifu Airport,Gifu,Japan,QGU,RJNG,35.394100189208984,136.8699951171875,128,9.0
2045,Whangarei Airport,Whangarei,New Zealand,WRE,NZWR,-35.7682991027832,174.36500549316406,133,12.0
5441,Qeqertarsuaq Heliport,Qeqertarsuaq Airport,Greenland,JGO,BGGN,69.251181993,-53.5148763657,9,-3.0
7416,Awassa Airport,Awasa,Ethiopia,AWA,HALA,7.066999912261963,38.5,5450,3.0
1821,General Francisco J. Mujica International Airport,Morelia,Mexico,MLM,MMMM,19.849899292,-101.025001526,6033,-6.0
6007,Sacheon Air Base/Airport,Sacheon,South Korea,HIN,RKPS,35.088591,128.071747,25,9.0
2234,Basrah International Airport,Basrah,Iraq,BSR,ORMM,30.54910087585449,47.66210174560547,11,3.0
3731,San Diego International Airport,San Diego,United States,SAN,KSAN,32.7336006165,-117.190002441,17,-8.0
96,Matagami Airport,Matagami,Canada,YNM,CYNM,49.76169967651367,-77.80280303955078,918,-5.0
8076,Al Maktoum International Airport,Dubai,United Arab Emirates,DWC,OMDW,24.896356,55.161389,114,4.0
1246,Valencia Airport,Valencia,Spain,VLC,LEVC,39.4893,-0.481625,240,1.0
2821,General José Antonio Anzoategui International Airport,Barcelona,Venezuela,BLA,SVBC,10.111111,-64.692222,30,-4.0
946,Cabinda Airport,Cabinda,Angola,CAB,FNCA,-5.59699010848999,12.188400268554688,66,1.0
1879,Golfito Airport,Golfito,Costa Rica,GLF,MRGF,8.654009819030762,-83.18219757080078,49,-6.0
7062,Shenandoah Valley Regional Airport,Weyers Cave,United States,SHD,KSHD,38.2638015747,-78.8964004517,1201,-5.0
2051,Kandahar Airport,Kandahar,Afghanistan,KDH,OAKN,31.505800247192383,65.8478012084961,3337,4.5
504,Farnborough Airport,Farnborough,United Kingdom,FAB,EGLF,51.2757987976,-0.776332974434,238,0.0
10135,San Cristobal de las Casas Airport,San Cristobal de las Casas,Mexico,SZT,MMSC,16.690299987793,-92.530097961426,7707,-6.0
8771,Lompoc Airport,Lompoc,United States,LPC,KLPC,34.665599823,-120.468002319,88,-8.0
6210,Warukin Airport,Tanjung-Borneo Island,Indonesia,TJG,WAON,-2.21655988693,115.435997009,197,8.0
3094,Gwalior Airport,Gwalior,India,GWL,VIGR,26.29330062866211,78.22779846191406,617,5.5
1713,Cengiz Topel Airport,Topel,Turkey,KCO,LTBQ,40.73500061035156,30.08329963684082,182,3.0
3355,Canberra International Airport,Canberra,Australia,CBR,YSCB,-35.30690002441406,149.19500732421875,1886,10.0
666,Stavanger Airport Sola,Stavanger,Norway,SVG,ENZV,58.876701354,5.6377801895,29,1.0
1468,Mikonos Airport,Mykonos,Greece,JMK,LGMK,37.43510055541992,25.348100662231445,405,2.0
1798,General Pedro Jose Mendez International Airport,Ciudad Victoria,Mexico,CVM,MMCV,23.7033004761,-98.9564971924,761,-6.0
976,Inhambane Airport,Inhambane,Mozambique,INH,FQIN,-23.876399993896484,35.40850067138672,30,2.0
8137,Red Bluff Municipal Airport,Red Bluff,United States,RBL,KRBL,40.1506996155,-122.251998901,352,-8.0
3724,Ogdensburg International Airport,Ogdensburg,United States,OGS,KOGS,44.6819000244,-75.46549987790002,297,-5.0
11070,Brewster Field,Holdredge,United States,HDE,KHDE,40.452099,-99.336502,2313,-5.0
3563,Pensacola Naval Air Station/Forrest Sherman Field,Pensacola,United States,NPA,KNPA,30.35269928,-87.31860352,28,-6.0
6143,Nadym Airport,Nadym,Russia,NYM,USMM,65.48090362548828,72.69889831542969,49,5.0
1764,Cibao International Airport,Santiago,Dominican Republic,STI,MDST,19.406099319458008,-70.60469818115234,565,-4.0
2894,Hewanorra International Airport,Hewandorra,Saint Lucia,UVF,TLPL,13.7332,-60.952599,14,-4.0
4193,Milos Airport,Milos,Greece,MLO,LGML,36.696899,24.4769,10,2.0
1399,Lille-Lesquin Airport,Lille,France,LIL,LFQQ,50.563332,3.086886,157,1.0
2503,Olavarria Airport,Olavarria,Argentina,OVR,SAZF,-36.8899993896,-60.2165985107,551,-3.0
